name_playlist;name_video;published;view_count;like_count;dislike_count;favorite_count;comment_count;duration
Общество;Лев Шлосберг: тайные похороны, уставшие врачи и вежливая ярость #ещенепознер;2019-05-16T07:02:00Z;342692;13383;328;0;1795;3932
Общество;Юлия Латынина: папки Путина, война с Грузией, Эйнштейн и Иисус #ещенепознер;2019-04-18T07:02:27Z;559224;13339;1289;0;2070;3814
Общество;Григорий Явлинский: покушение на сына, спецслужбы и заложники #ещенепознер;2019-03-28T07:00:18Z;302162;12898;437;0;1853;-1
Общество;Екатерина Шульман: выбирает преемника Путина и обижает всех #ещенепознер;2019-03-14T07:02:27Z;1287206;37303;2411;0;5004;3972
Общество;Юрий Сапрыкин: Лимонов и Пархоменко, философы и хипстеры #ещенепознер;2019-03-07T08:40:44Z;165180;4498;201;0;418;3872
Общество;Виктор Шендерович: деньги Суркова, театр Табакова и Крым #ещенепознер;2019-02-21T06:59:17Z;487241;14494;528;0;1277;4206
Общество;Нюта Федермессер: Каспаров и ЮКОС, власть и смерть #ещенепознер;2019-01-24T07:00:07Z;220213;5666;450;0;721;2918
Общество;Алексей Венедиктов: загадка Навального, судьба Путина и возвращение Гусинского #ещенепознер;2019-01-17T06:59:03Z;658910;11277;1153;0;1193;-1
Общество;Владимир Мединский: хороший, плохой, злой #ещенепознер;2018-12-24T06:59:28Z;170688;3212;1633;0;989;3094
Общество;Анатолий Чубайс: Немцов, Кадыров, Авдотья Смирнова и демократ Путин #ещенепознер;2018-11-26T07:44:35Z;608344;9410;4620;0;2764;4054
Общество;Дмитрий Быков: харассмент, наркотики, где живет Пелевин #ещенепознер;2018-11-12T06:46:41Z;1088237;25971;1563;0;2456;2879
Общество;Александр Сокуров: Монеточка, телефоны Михалкова, трагедия Тарковского #ещенепознер;2018-10-29T05:31:53Z;809599;21745;1181;0;2467;2981
Общество;Михаил Пиотровский: кабинет Мединского, горящая Москва, женские ласки в Эрмитаже #ещенепознер;2018-10-22T04:49:57Z;197416;3669;511;0;493;2549
Общество;Галина Тимченко: Meduza, Кремль, олигархи и одиночество #ещенепознер;2018-12-10T10:29:53Z;301611;7680;508;0;712;3166
Общество;Дмитрий Муратов: крутая Политковская, защита Кадырова, большая война #ещенепознер;2018-12-17T06:58:04Z;294497;11392;854;0;922;2896
Общество;Алексей Уминский: пофигизм, патриарх и яйцо динозавра #ещёнепознер;2019-02-07T07:01:29Z;339367;10062;384;0;1275;3861
Общество;Александр Архангельский: что значит сегодня быть русским? #ещенепознер;2019-05-10T07:47:27Z;210806;6936;419;0;1285;3418
Общество;Григорий Ревзин: «Путин и Навальный уничтожают потенциал страны» #ещенепознер;2020-03-12T07:01:04Z;210617;5713;1725;0;1560;5330
Общество;Наталья Зубаревич: «И это наша Родина. И это мы такие» #ещенепознер;2020-09-24T12:00:00Z;683494;33640;698;0;2599;4686
Общество;Максим Шевченко: «Мир заполнен злом. И нет места надежде» #ещенепознер;2020-10-22T08:00:17Z;479306;20526;1578;0;5390;6203
Общество;Борис Колоницкий: «Жёсткие парни вкусили власть» #ещенепознер;2020-11-05T16:00:09Z;225597;8512;328;0;1088;3999
Общество;Братва: история бандитского Петербурга #ещенепознер;2020-12-03T17:00:12Z;1739281;34934;3167;0;5507;8399
Общество;Сергей Мироненко: «Так дальше жить нельзя» #ещенепознер;2021-01-28T07:00:08Z;274274;10026;346;0;1236;4050
Общество;Александр Дугин: «Ла-ла-ла-ла-ла» #ещенепознер;2021-02-11T15:00:15Z;349266;14089;1300;0;3010;5638
Общество;Николай Сванидзе: Путин/АнтиПутин и Сталин/АнтиСталин #ещенепознер;2019-06-27T07:00:03Z;279974;8294;633;0;1207;2831
Общество;Ирина Прохорова: женщина — президент России и война всех против всех #ещенепознер;2019-07-04T07:08:42Z;164717;5146;539;0;1008;3286
Общество;Сергей Пархоменко: предатель Кашин, глупый Бабченко и расчётливый Навальный #ещенепознер;2019-08-15T07:00:43Z;314760;8463;939;0;1573;4443
Общество;Илья Новиков: Двинятин, Путин и хреновый прогноз #ещенепознер;2019-09-19T06:57:58Z;1309445;42736;2814;0;5528;4356
Общество;Теодор Шанин: «Война начинается сегодня» #ещенепознер;2019-12-19T07:00:04Z;175997;6170;164;0;579;6597
Общество;Дмитрий Зимин: власть деспота, террор, умные олигархи и неумный Солодников #ещенепознер;2019-05-30T07:06:26Z;236848;9169;335;0;963;3811
Общество;Лев Шлосберг: тайные похороны, уставшие врачи и вежливая ярость #ещенепознер;2019-05-16T07:02:00Z;342692;13383;328;0;1795;3932
Общество;Юлия Латынина: папки Путина, война с Грузией, Эйнштейн и Иисус #ещенепознер;2019-04-18T07:02:27Z;559224;13339;1289;0;2070;3814
Общество;Григорий Явлинский: покушение на сына, спецслужбы и заложники #ещенепознер;2019-03-28T07:00:18Z;302162;12898;437;0;1853;-1
Общество;Екатерина Шульман: выбирает преемника Путина и обижает всех #ещенепознер;2019-03-14T07:02:27Z;1287206;37303;2411;0;5004;3972
Общество;Юрий Сапрыкин: Лимонов и Пархоменко, философы и хипстеры #ещенепознер;2019-03-07T08:40:44Z;165180;4498;201;0;418;3872
Общество;Виктор Шендерович: деньги Суркова, театр Табакова и Крым #ещенепознер;2019-02-21T06:59:17Z;487241;14494;528;0;1277;4206
Общество;Нюта Федермессер: Каспаров и ЮКОС, власть и смерть #ещенепознер;2019-01-24T07:00:07Z;220213;5666;450;0;721;2918
Общество;Алексей Венедиктов: загадка Навального, судьба Путина и возвращение Гусинского #ещенепознер;2019-01-17T06:59:03Z;658910;11277;1153;0;1193;-1
Общество;Владимир Мединский: хороший, плохой, злой #ещенепознер;2018-12-24T06:59:28Z;170688;3212;1633;0;989;3094
Общество;Анатолий Чубайс: Немцов, Кадыров, Авдотья Смирнова и демократ Путин #ещенепознер;2018-11-26T07:44:35Z;608344;9410;4620;0;2764;4054
Общество;Дмитрий Быков: харассмент, наркотики, где живет Пелевин #ещенепознер;2018-11-12T06:46:41Z;1088237;25971;1563;0;2456;2879
Общество;Александр Сокуров: Монеточка, телефоны Михалкова, трагедия Тарковского #ещенепознер;2018-10-29T05:31:53Z;809599;21745;1181;0;2467;2981
Общество;Михаил Пиотровский: кабинет Мединского, горящая Москва, женские ласки в Эрмитаже #ещенепознер;2018-10-22T04:49:57Z;197416;3669;511;0;493;2549
Общество;Галина Тимченко: Meduza, Кремль, олигархи и одиночество #ещенепознер;2018-12-10T10:29:53Z;301611;7680;508;0;712;3166
Общество;Дмитрий Муратов: крутая Политковская, защита Кадырова, большая война #ещенепознер;2018-12-17T06:58:04Z;294497;11392;854;0;922;2896
Общество;Алексей Уминский: пофигизм, патриарх и яйцо динозавра #ещёнепознер;2019-02-07T07:01:29Z;339367;10062;384;0;1275;3861
Общество;Александр Архангельский: что значит сегодня быть русским? #ещенепознер;2019-05-10T07:47:27Z;210806;6936;419;0;1285;3418
Общество;Григорий Ревзин: «Путин и Навальный уничтожают потенциал страны» #ещенепознер;2020-03-12T07:01:04Z;210617;5713;1725;0;1560;5330
Общество;Наталья Зубаревич: «И это наша Родина. И это мы такие» #ещенепознер;2020-09-24T12:00:00Z;683494;33640;698;0;2599;4686
Общество;Максим Шевченко: «Мир заполнен злом. И нет места надежде» #ещенепознер;2020-10-22T08:00:17Z;479306;20526;1578;0;5390;6203
Общество;Борис Колоницкий: «Жёсткие парни вкусили власть» #ещенепознер;2020-11-05T16:00:09Z;225597;8512;328;0;1088;3999
Общество;Братва: история бандитского Петербурга #ещенепознер;2020-12-03T17:00:12Z;1739281;34934;3167;0;5507;8399
Общество;Сергей Мироненко: «Так дальше жить нельзя» #ещенепознер;2021-01-28T07:00:08Z;274274;10026;346;0;1236;4050
Общество;Александр Дугин: «Ла-ла-ла-ла-ла» #ещенепознер;2021-02-11T15:00:15Z;349266;14089;1300;0;3010;5638
Общество;Александр Проханов: «Русский Ренессанс» #ещенепознер;2021-03-18T16:00:01Z;82119;2732;886;0;1591;5724
Литература;Ольга Седакова: «Моцарт говорит, что комсомольские собрания ужасны» #ещенепознер;2019-11-28T07:01:19Z;166645;5147;209;0;622;4604
Литература;Вера Полозкова: Oxxxymiron и Венеция, Noize MC и «Снова не мы» #ещенепознер;2019-10-31T07:20:36Z;725660;32934;656;0;3926;4813
Литература;Людмила Улицкая: «В моей жизни был только один поступок...» #ещенепознер;2019-10-03T07:30:43Z;675897;18766;688;0;1645;4735
Литература;Борис Куприянов: чья Москва? Чей Крым? Чей Летов? #ещенепознер;2019-08-08T07:00:08Z;168253;3445;674;0;773;3773
Литература;Виктор Голышев: Барышников и Бродский, Рихтер и Соколов, и весь этот джаз #ещенепознер;2019-07-11T07:00:16Z;173991;6655;114;0;622;3401
Литература;Ольга Седакова: «Моцарт говорит, что комсомольские собрания ужасны» #ещенепознер;2019-11-28T07:01:19Z;166645;5147;209;0;622;4604
Литература;Вера Полозкова: Oxxxymiron и Венеция, Noize MC и «Снова не мы» #ещенепознер;2019-10-31T07:20:36Z;725660;32934;656;0;3926;4813
Литература;Людмила Улицкая: «В моей жизни был только один поступок...» #ещенепознер;2019-10-03T07:30:43Z;675897;18766;688;0;1645;4735
Литература;Борис Куприянов: чья Москва? Чей Крым? Чей Летов? #ещенепознер;2019-08-08T07:00:08Z;168253;3445;674;0;773;3773
Литература;Виктор Голышев: Барышников и Бродский, Рихтер и Соколов, и весь этот джаз #ещенепознер;2019-07-11T07:00:16Z;173991;6655;114;0;622;3401
Литература;Ирина Прохорова: женщина — президент России и война всех против всех #ещенепознер;2019-07-04T07:08:42Z;164717;5146;539;0;1008;3286
Литература;Дмитрий Быков: харассмент, наркотики, где живет Пелевин #ещенепознер;2018-11-12T06:46:41Z;1088237;25971;1563;0;2456;2879
Литература;Юрий Сапрыкин: Лимонов и Пархоменко, философы и хипстеры #ещенепознер;2019-03-07T08:40:44Z;165180;4498;201;0;418;3872
Литература;Юлия Латынина: папки Путина, война с Грузией, Эйнштейн и Иисус #ещенепознер;2019-04-18T07:02:27Z;559224;13339;1289;0;2070;3814
Литература;Александр Архангельский: что значит сегодня быть русским? #ещенепознер;2019-05-10T07:47:27Z;210806;6936;419;0;1285;3418
Литература;Ольга Седакова: «Моцарт говорит, что комсомольские собрания ужасны» #ещенепознер;2019-11-28T07:01:19Z;166645;5147;209;0;622;4604
Литература;Вера Полозкова: Oxxxymiron и Венеция, Noize MC и «Снова не мы» #ещенепознер;2019-10-31T07:20:36Z;725660;32934;656;0;3926;4813
Литература;Людмила Улицкая: «В моей жизни был только один поступок...» #ещенепознер;2019-10-03T07:30:43Z;675897;18766;688;0;1645;4735
Литература;Борис Куприянов: чья Москва? Чей Крым? Чей Летов? #ещенепознер;2019-08-08T07:00:08Z;168253;3445;674;0;773;3773
Литература;Виктор Голышев: Барышников и Бродский, Рихтер и Соколов, и весь этот джаз #ещенепознер;2019-07-11T07:00:16Z;173991;6655;114;0;622;3401
Литература;Ирина Прохорова: женщина — президент России и война всех против всех #ещенепознер;2019-07-04T07:08:42Z;164717;5146;539;0;1008;3286
Литература;Дмитрий Быков: харассмент, наркотики, где живет Пелевин #ещенепознер;2018-11-12T06:46:41Z;1088237;25971;1563;0;2456;2879
Литература;Юрий Сапрыкин: Лимонов и Пархоменко, философы и хипстеры #ещенепознер;2019-03-07T08:40:44Z;165180;4498;201;0;418;3872
Литература;Юлия Латынина: папки Путина, война с Грузией, Эйнштейн и Иисус #ещенепознер;2019-04-18T07:02:27Z;559224;13339;1289;0;2070;3814
Литература;Александр Архангельский: что значит сегодня быть русским? #ещенепознер;2019-05-10T07:47:27Z;210806;6936;419;0;1285;3418
Литература;Евгений Гришковец: «Люди, которые делают этот мир хуже» #ещенепознер;2020-02-20T09:18:53Z;560422;18141;906;0;2073;4111
Литература;Дети Иосифа. К 80-летию Бродского #ещенепознер;2020-05-24T07:00:01Z;273156;10695;993;0;1177;4645
Литература;Яков Гордин: письмо Сталину, травля Пастернака, суд над Бродским #ещенепознер;2020-10-15T16:00:13Z;227830;6168;186;0;631;5533
Литература;Михаил Мейлах: судьба ленинградской интеллигенции #ещенепознер;2020-12-10T08:00:02Z;248763;8737;209;0;1165;5501
Литература;Олег Дорман: «Власть — фундамент для лжи» #ещенепознер;2021-02-25T15:30:02Z;164853;5889;116;0;836;5239
Литература;Ольга Седакова: «Моцарт говорит, что комсомольские собрания ужасны» #ещенепознер;2019-11-28T07:01:19Z;166645;5147;209;0;622;4604
Литература;Вера Полозкова: Oxxxymiron и Венеция, Noize MC и «Снова не мы» #ещенепознер;2019-10-31T07:20:36Z;725660;32934;656;0;3926;4813
Литература;Людмила Улицкая: «В моей жизни был только один поступок...» #ещенепознер;2019-10-03T07:30:43Z;675897;18766;688;0;1645;4735
Литература;Борис Куприянов: чья Москва? Чей Крым? Чей Летов? #ещенепознер;2019-08-08T07:00:08Z;168253;3445;674;0;773;3773
Литература;Виктор Голышев: Барышников и Бродский, Рихтер и Соколов, и весь этот джаз #ещенепознер;2019-07-11T07:00:16Z;173991;6655;114;0;622;3401
Литература;Ирина Прохорова: женщина — президент России и война всех против всех #ещенепознер;2019-07-04T07:08:42Z;164717;5146;539;0;1008;3286
Литература;Дмитрий Быков: харассмент, наркотики, где живет Пелевин #ещенепознер;2018-11-12T06:46:41Z;1088237;25971;1563;0;2456;2879
Литература;Юрий Сапрыкин: Лимонов и Пархоменко, философы и хипстеры #ещенепознер;2019-03-07T08:40:44Z;165180;4498;201;0;418;3872
Литература;Юлия Латынина: папки Путина, война с Грузией, Эйнштейн и Иисус #ещенепознер;2019-04-18T07:02:27Z;559224;13339;1289;0;2070;3814
Литература;Александр Архангельский: что значит сегодня быть русским? #ещенепознер;2019-05-10T07:47:27Z;210806;6936;419;0;1285;3418
Литература;Евгений Гришковец: «Люди, которые делают этот мир хуже» #ещенепознер;2020-02-20T09:18:53Z;560422;18141;906;0;2073;4111
Литература;Дети Иосифа. К 80-летию Бродского #ещенепознер;2020-05-24T07:00:01Z;273156;10695;993;0;1177;4645
Литература;Яков Гордин: письмо Сталину, травля Пастернака, суд над Бродским #ещенепознер;2020-10-15T16:00:13Z;227830;6168;186;0;631;5533
Литература;Михаил Мейлах: судьба ленинградской интеллигенции #ещенепознер;2020-12-10T08:00:02Z;248763;8737;209;0;1165;5501
Литература;Олег Дорман: «Власть — фундамент для лжи» #ещенепознер;2021-02-25T15:30:02Z;164853;5889;116;0;836;5239
Литература;Истории Серебряного века: секс, алкоголь и немного поэзии #ещенепознер;2021-03-11T16:00:30Z;299634;10057;344;0;1220;5617
Литература;Александр Проханов: «Русский Ренессанс» #ещенепознер;2021-03-18T16:00:01Z;82119;2732;886;0;1591;5724
Музыка;Кирилл Рихтер: попсовый Эйнауди, Oxxxymiron и «Русский реквием» #ещенепознер;2019-12-12T09:11:04Z;177147;6582;274;0;773;4635
Музыка;Олег Нестеров: обыкновенный фашизм и необыкновенная любовь #ещенепознер;2019-06-06T06:58:45Z;176214;6345;244;0;799;3092
Музыка;Леонид Десятников: Украина и стыд, Шостакович и политика #ещенепознер;2019-04-25T06:59:26Z;184697;5265;219;0;510;3787
Музыка;SHORTPARIS: страх, ненависть и тело России #ещенепознер;2019-03-21T06:46:19Z;745455;37988;972;0;2864;3093
Музыка;Владимир Мартынов: Соррентино, Федоров, Пярт и конец времени композиторов #ещенепознер;2019-02-28T06:59:17Z;171916;4925;147;0;516;3687
Музыка;Кирилл Рихтер: попсовый Эйнауди, Oxxxymiron и «Русский реквием» #ещенепознер;2019-12-12T09:11:04Z;177147;6582;274;0;773;4635
Музыка;Олег Нестеров: обыкновенный фашизм и необыкновенная любовь #ещенепознер;2019-06-06T06:58:45Z;176214;6345;244;0;799;3092
Музыка;Леонид Десятников: Украина и стыд, Шостакович и политика #ещенепознер;2019-04-25T06:59:26Z;184697;5265;219;0;510;3787
Музыка;SHORTPARIS: страх, ненависть и тело России #ещенепознер;2019-03-21T06:46:19Z;745455;37988;972;0;2864;3093
Музыка;Владимир Мартынов: Соррентино, Федоров, Пярт и конец времени композиторов #ещенепознер;2019-02-28T06:59:17Z;171916;4925;147;0;516;3687
Музыка;Элисо Вирсаладзе: «Кто здесь самый главный пианист»? #ещенепознер;2020-02-06T07:00:00Z;239473;7872;278;0;1073;4016
Музыка;Леонид Фёдоров: «Пир во время чумы» #ещенепознер;2020-03-26T11:59:29Z;285532;9262;270;0;1000;7142
Музыка;Нино Катамадзе: «Надо спасать мир, а не критиковать его» #ещенепознер;2020-04-02T07:00:20Z;248228;6798;449;0;976;4301
Музыка;Георгий Пелецис: великий композитор о самой прекрасной музыке на свете #ещенепознер;2020-05-07T17:03:00Z;243762;4518;270;0;460;5563
Музыка;Артемий Троицкий: девки, песни и полное дерьмо #ещенепознер;2020-06-18T16:00:25Z;318553;8825;616;0;1500;5651
Музыка;Кирилл Рихтер: попсовый Эйнауди, Oxxxymiron и «Русский реквием» #ещенепознер;2019-12-12T09:11:04Z;177147;6582;274;0;773;4635
Музыка;Олег Нестеров: обыкновенный фашизм и необыкновенная любовь #ещенепознер;2019-06-06T06:58:45Z;176214;6345;244;0;799;3092
Музыка;Леонид Десятников: Украина и стыд, Шостакович и политика #ещенепознер;2019-04-25T06:59:26Z;184697;5265;219;0;510;3787
Музыка;SHORTPARIS: страх, ненависть и тело России #ещенепознер;2019-03-21T06:46:19Z;745455;37988;972;0;2864;3093
Музыка;Владимир Мартынов: Соррентино, Федоров, Пярт и конец времени композиторов #ещенепознер;2019-02-28T06:59:17Z;171916;4925;147;0;516;3687
Музыка;Элисо Вирсаладзе: «Кто здесь самый главный пианист»? #ещенепознер;2020-02-06T07:00:00Z;239473;7872;278;0;1073;4016
Музыка;Леонид Фёдоров: «Пир во время чумы» #ещенепознер;2020-03-26T11:59:29Z;285532;9262;270;0;1000;7142
Музыка;Нино Катамадзе: «Надо спасать мир, а не критиковать его» #ещенепознер;2020-04-02T07:00:20Z;248228;6798;449;0;976;4301
Музыка;Георгий Пелецис: великий композитор о самой прекрасной музыке на свете #ещенепознер;2020-05-07T17:03:00Z;243762;4518;270;0;460;5563
Музыка;Артемий Троицкий: девки, песни и полное дерьмо #ещенепознер;2020-06-18T16:00:25Z;318553;8825;616;0;1500;5651
Музыка;Вячеслав Бутусов: любить Бодрова, смотреть Балабанова, слушать Баха #ещенепознер;2020-09-03T15:00:24Z;505608;19860;654;0;2123;3923
Музыка;Эдуард Артемьев: «Картины мастеров» #ещенепознер;2021-02-18T07:00:16Z;306931;18446;162;0;3333;5415
Кинематограф;Александр Сокуров: Монеточка, телефоны Михалкова, трагедия Тарковского #ещенепознер;2018-10-29T05:31:53Z;809599;21745;1181;0;2467;2981
Кинематограф;Андрей Звягинцев: личная жизнь, Бродский, «Тачки», Путин #ещенепознер;2018-11-05T05:27:32Z;596766;13731;556;0;1357;-1
Кинематограф;Юрий Норштейн: чёлка Сечина, картофель Ван Гога и сраная Сити #ещенепознер;2018-11-19T05:40:34Z;434762;13933;532;0;1359;2965
Кинематограф;Олег Басилашвили: война, кино и свобода #ещенепознер;2019-01-31T06:57:10Z;566585;15787;420;0;1443;3356
Кинематограф;Гарри Бардин: одиночество, цензура и счастье #ещенепознер;2019-04-04T07:00:52Z;154845;6485;94;0;485;3534
Кинематограф;Александр Сокуров: Монеточка, телефоны Михалкова, трагедия Тарковского #ещенепознер;2018-10-29T05:31:53Z;809599;21745;1181;0;2467;2981
Кинематограф;Андрей Звягинцев: личная жизнь, Бродский, «Тачки», Путин #ещенепознер;2018-11-05T05:27:32Z;596766;13731;556;0;1357;-1
Кинематограф;Юрий Норштейн: чёлка Сечина, картофель Ван Гога и сраная Сити #ещенепознер;2018-11-19T05:40:34Z;434762;13933;532;0;1359;2965
